,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_name,admin_division_population,longitude,latitude
517,1km,mudslide,downpour,medium,other,0.0,,Brazil,6023699.0,-43.2394,-22.9033
518,5km,landslide,rain,small,above_road,0.0,0.0,United States,53007.0,-122.376,47.7166
519,5km,mudslide,downpour,medium,other,0.0,,Peru,0.0,-71.48899999999999,-15.345
520,10km,landslide,unknown,small,above_road,0.0,0.0,Costa Rica,11680.0,-83.3268,9.1464
521,5km,landslide,unknown,large,above_road,0.0,0.0,Nepal,18317.0,80.67,29.58
522,5km,landslide,downpour,small,other,,,Brazil,272691.0,-43.2087,-22.5444
523,25km,landslide,downpour,medium,other,,,Costa Rica,8292.0,-84.397,9.764
524,5km,landslide,continuous_rain,medium,above_road,0.0,0.0,India,30418.0,94.1078,24.1419
525,10km,complex,downpour,medium,other,0.0,,United States,1041.0,-77.5191,42.7167
526,50km,complex,tropical_cyclone,medium,other,,,Philippines,9636.0,120.6,18.23
528,5km,mudslide,downpour,medium,other,0.0,,United States,1027.0,-106.4031,39.5672
529,5km,landslide,unknown,medium,above_road,0.0,0.0,Indonesia,0.0,103.3535,-0.6086
530,1km,landslide,rain,large,other,22.0,22.0,China,1171633.0,107.3407,26.9226
531,5km,landslide,unknown,medium,other,0.0,0.0,United States,1864.0,-105.8752,40.0929
532,25km,mudslide,downpour,medium,other,2.0,,Peru,2000.0,-72.3902,-13.2122
533,1km,debris_flow,downpour,small,other,0.0,0.0,United States,608660.0,-122.3811,47.636
534,10km,landslide,rain,small,other,,,United Kingdom,3170.0,-4.9527,50.4444
535,5km,landslide,unknown,small,urban,0.0,3.0,Indonesia,0.0,103.2764,-0.5229
537,25km,landslide,rain,medium,other,0.0,,India,2571.0,79.0765,30.4619
538,1km,landslide,downpour,large,other,1.0,,India,66390.0,78.3221,30.1281
539,5km,landslide,downpour,medium,other,0.0,,Pakistan,725000.0,73.4637,34.6644
540,1km,landslide,unknown,medium,above_road,0.0,0.0,United States,80968.0,-121.7675,37.6815
541,25km,landslide,rain,large,other,,,Indonesia,50059.0,111.1835,-7.6511
543,25km,mudslide,tropical_cyclone,large,other,29.0,,Honduras,850848.0,-87.2137,14.107999999999999
544,1km,landslide,downpour,medium,other,0.0,,Brazil,6023699.0,-43.288000000000004,-23.0099
545,5km,landslide,rain,medium,other,,,United Kingdom,1320.0,-2.2651,57.6778
546,1km,mudslide,downpour,small,other,0.0,,United States,12336.0,-122.54700000000001,37.9768
547,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1690.0,-123.7807,45.8269
548,10km,landslide,downpour,medium,other,0.0,,India,3278.0,75.203,33.3893
549,1km,mudslide,rain,small,other,0.0,,Australia,19972.0,145.8596,-41.0415
550,25km,landslide,downpour,large,other,20.0,,China,0.0,113.5578,29.3046
551,50km,mudslide,rain,medium,other,,,United States,9834.0,-123.1628,47.3434
552,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,6009.0,-122.7617,45.5774
553,1km,mudslide,downpour,medium,other,0.0,,Italy,887.0,14.6074,40.6378
554,1km,landslide,downpour,medium,other,0.0,,Brazil,456456.0,-43.0783,-22.8887
555,5km,landslide,no_apparent_trigger,medium,mine,3.0,0.0,Indonesia,0.0,115.5442,-8.7401
556,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,8466.0,-123.8216,44.0601
557,25km,mudslide,unknown,small,other,0.0,,United States,1182.0,-104.4111,44.4648
558,5km,landslide,downpour,medium,other,0.0,,Australia,1500.0,145.6506,-16.73
559,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1737.0,-123.2631,46.056999999999995
560,25km,landslide,downpour,medium,other,0.0,,India,7317.0,75.2382,33.241
561,5km,landslide,downpour,medium,other,0.0,,Bhutan,2805.0,90.5034,27.5
562,50km,landslide,rain,large,other,10.0,,Costa Rica,26669.0,-83.9451,10.0214
563,10km,landslide,continuous_rain,medium,other,0.0,0.0,El Salvador,6393.0,-88.0843,13.293
